Rank,Name,Age,City,Gender,Country,Source,Organization,Title,Year,Month,Networth,Category
1,Bernard Arnault & family,74,Paris,M,France,LVMH,LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,2023,4,211000,Fashion & Retail
2,Elon Musk,51,Austin,M,United States,"Tesla, SpaceX",Tesla,CEO,2023,4,180000,Automotive
3,Jeff Bezos,59,Medina,M,United States,Amazon,Amazon,Chairman and Founder,2023,4,114000,Technology
4,Larry Ellison,78,Lanai,M,United States,Oracle,Oracle,CTO and Founder,2023,4,107000,Technology
5,Warren Buffett,92,Omaha,M,United States,Berkshire Hathaway,Berkshire Hathaway Inc. (Cl A),CEO,2023,4,106000,Finance & Investments
6,Bill Gates,67,Medina,M,United States,Microsoft,Bill & Melinda Gates Foundation,Cochair,2023,4,104000,Technology
7,Michael Bloomberg,81,New York,M,United States,Bloomberg LP,Bloomberg,CEO,2023,4,94500,Media & Entertainment
8,Carlos Slim Helu & family,83,Mexico City,M,Mexico,Telecom,América Móvil,Honorary Chairman,2023,4,93000,Telecom
9,Mukesh Ambani,65,Mumbai,M,India,Diversified,Reliance Industries Ltd.,Founder and Chairman,2023,4,83400,Diversified
10,Steve Ballmer,67,Hunts Point,M,United States,Microsoft,Los Angeles Clippers,Owner,2023,4,80700,Technology
11,Francoise Bettencourt Meyers & family,69,Paris,F,France,L'Oréal,,,2023,4,80500,Fashion & Retail
12,Larry Page,50,Palo Alto,M,United States,Google,Alphabet,Cofounder and board member,2023,4,79200,Technology
13,Amancio Ortega,87,La Coruna,M,Spain,Zara,,,2023,4,77300,Fashion & Retail
14,Sergey Brin,49,Los Altos,M,United States,Google,Alphabet,Cofounder and board member,2023,4,76000,Technology
15,Zhong Shanshan,68,Hangzhou,M,China,"Beverages, pharmaceuticals",,,2023,4,68000,Food & Beverage
16,Mark Zuckerberg,38,Palo Alto,M,United States,Facebook,Meta Platforms,Cofounder,2023,4,64400,Technology
17,Charles Koch & family,87,Wichita,M,United States,Koch Industries,"Koch Industries, Inc.",Chairman and CEO,2023,4,59000,Diversified
17,Julia Koch & family,60,New York,F,United States,Koch Industries,,,2023,4,59000,Diversified
19,Jim Walton,74,Bentonville,M,United States,Walmart,"Arvest Bank Group, Inc.",Chairman and CEO,2023,4,58800,Fashion & Retail
20,Rob Walton & family,78,Bentonville,M,United States,Walmart,Walmart,Director,2023,4,57600,Fashion & Retail
21,Alice Walton,73,Fort Worth,F,United States,Walmart,Crystal Bridges Museum of American Art,Philanthropist,2023,4,56700,Fashion & Retail
22,David Thomson & family,65,Toronto,M,Canada,Media,Thomson Reuters Corporation,Chairman,2023,4,54400,Media & Entertainment
23,Michael Dell,58,Austin,M,United States,Dell Technologies,Dell Inc.,Chairman and CEO,2023,4,50100,Technology
24,Gautam Adani,60,Ahmedabad,M,India,"Infrastructure, commodities",,,2023,4,47200,Diversified
25,Phil Knight & family,85,Hillsboro,M,United States,Nike,Nike,Chairman,2023,4,45100,Fashion & Retail
26,Zhang Yiming,39,Beijing,M,China,TikTok,ByteDance,Founder,2023,4,45000,Technology
27,Dieter Schwarz,83,Neckarsulm,M,Germany,Retail,,,2023,4,42900,Fashion & Retail
28,François Pinault & family,86,Paris,M,France,Luxury goods,,,2023,4,40100,Fashion & Retail
29,Klaus-Michael Kuehne,85,Schindellegi,M,Switzerland,Shipping,,,2023,4,39100,Logistics
30,Giovanni Ferrero,58,Brussels,M,Belgium,"Nutella, chocolates",,,2023,4,38900,Food & Beverage
31,Jacqueline Mars,83,The Plains,F,United States,"Candy, pet food",,,2023,4,38300,Food & Beverage
31,John Mars,87,Jackson,M,United States,"Candy, pet food",,,2023,4,38300,Food & Beverage
33,Li Ka-shing,94,,M,Hong Kong,Diversified,CK Hutchison Holdings,Senior Advisor,2023,4,38000,Diversified
34,Ma Huateng,51,Shenzhen,M,China,Internet media,Tencent,Chairman and CEO,2023,4,35300,Technology
35,Miriam Adelson & family,77,Las Vegas,F,United States,Casinos,,,2023,4,35000,Gambling & Casinos
35,Ken Griffin,54,Miami,M,United States,Hedge funds,Citadel LLC,Founder & CEO,2023,4,35000,Finance & Investments
37,Mark Mateschitz,30,Salzburg,M,Austria,Red Bull,,,2023,4,34700,Food & Beverage
38,Robin Zeng,54,Ningde,M,China,Batteries,,,2023,4,33400,Automotive
39,Tadashi Yanai & family,74,Tokyo,M,Japan,Fashion retail,,,2023,4,32600,Fashion & Retail
40,Len Blavatnik,65,London,M,United Kingdom,"Music, chemicals",,,2023,4,32100,Diversified
41,Alain Wertheimer,74,New York,M,United States,Chanel,,,2023,4,31600,Fashion & Retail
41,Gerard Wertheimer,72,New York,M,United States,Chanel,,,2023,4,31600,Fashion & Retail
43,Gianluigi Aponte,82,Geneva,M,Switzerland,Shipping,,,2023,4,31200,Logistics
43,Rafaela Aponte-Diamant,78,Geneva,F,Switzerland,Shipping,,,2023,4,31200,Logistics
45,Colin Huang,43,Shanghai,M,China,E-commerce,,,2023,4,30200,Technology
46,Reinhold Wuerth & family,87,Kuenzelsau,M,Germany,Fasteners,,,2023,4,29700,Manufacturing
47,Lee Shau Kee,95,Hong Kong,M,Hong Kong,Real estate,,,2023,4,29500,Real Estate
48,Jeff Yass,64,Haverford,M,United States,"Trading, investments",,,2023,4,28500,Finance & Investments
49,Jim Simons,84,East Setauket,M,United States,Hedge funds,Renaissance Technologies Corp.,Founder,2023,4,28100,Finance & Investments
50,Stephen Schwarzman,76,New York,M,United States,Investments,Blackstone Group,Chairman and CEO,2023,4,27800,Finance & Investments
51,Susanne Klatten,60,Bad Homburg,F,Germany,"BMW, pharmaceuticals",,,2023,4,27400,Automotive
52,Gina Rinehart,69,Perth,F,Australia,Mining,Hancock Prospecting,Executive Chairman,2023,4,27000,Metals & Mining
53,William Ding,51,Hangzhou,M,China,Online games,,,2023,4,26700,Technology
54,Germán Larrea Mota Velasco & family,69,Mexico City,M,Mexico,Mining,,,2023,4,26600,Metals & Mining
55,Shiv Nadar,77,Delhi,M,India,software services,,,2023,4,25600,Technology
56,Low Tuck Kwong,74,Jakarta,M,Indonesia,Coal,,,2023,4,25500,Energy
57,Thomas Peterffy,78,Palm Beach,M,United States,Discount brokerage,,,2023,4,25300,Finance & Investments
58,Andrey Melnichenko & family,51,Ras Al Khaimah,M,United Arab Emirates,"Fertilizers, coal",,,2023,4,25200,Metals & Mining
59,Stefan Quandt,56,Frankfurt,M,Germany,BMW,,,2023,4,24600,Automotive
60,MacKenzie Scott,52,Seattle,F,United States,Amazon,,Philanthropist,2023,4,24400,Technology
61,R. Budi Hartono,82,Kudus,M,Indonesia,"Banking, tobacco",,,2023,4,24200,Finance & Investments
62,Vladimir Potanin,62,Moscow,M,Russia,Metals,,,2023,4,23700,Metals & Mining
63,Jack Ma,58,Hangzhou,M,China,E-commerce,,,2023,4,23500,Technology
64,He Xiangjian & family,80,Foshan,M,China,Home appliances,,,2023,4,23400,Manufacturing
65,Iris Fontbona & family,80,Santiago,F,Chile,Mining,,,2023,4,23100,Metals & Mining
65,Michael Hartono,83,Kudus,M,Indonesia,"Banking, tobacco",,,2023,4,23100,Manufacturing
67,James Ratcliffe,70,London,M,United Kingdom,Chemicals,,,2023,4,22900,Manufacturing
68,Cyrus Poonawalla,81,Pune,M,India,Vaccines,,,2023,4,22600,Healthcare
69,Masayoshi Son,65,Tokyo,M,Japan,"Internet, telecom",SoftBank Group Corp.,CEO,2023,4,22400,Telecom
70,Vladimir Lisin,66,Moscow,M,Russia,"Steel, transport",,,2023,4,22100,Metals & Mining
71,Emmanuel Besnier,52,Laval,M,France,Cheese,,,2023,4,22000,Food & Beverage
72,Abigail Johnson,61,Milton,F,United States,Fidelity,Fidelity Investments,CEO,2023,4,21600,Finance & Investments
72,Leonid Mikhelson & family,67,Moscow,M,Russia,"Gas, chemicals",,,2023,4,21600,Energy
74,Lukas Walton,36,Chicago,M,United States,Walmart,,,2023,4,21200,Fashion & Retail
74,Wang Wei,52,Shenzhen,M,China,Package delivery,,,2023,4,21200,Service
76,Jensen Huang,60,Los Altos,M,United States,Semiconductors,Nvidia,CEO & President,2023,4,21100,Technology
77,Leonard Lauder,90,New York,M,United States,Estee Lauder,The Estée Lauder Companies,Chairman Emeritus,2023,4,21000,Fashion & Retail
77,Takemitsu Takizaki,77,Osaka,M,Japan,Sensors,,,2023,4,21000,Manufacturing
79,Alexey Mordashov & family,57,Moscow,M,Russia,"Steel, investments",,,2023,4,20900,Metals & Mining
80,Vagit Alekperov,72,Moscow,M,Russia,Oil,,,2023,4,20500,Energy
81,"Thomas Frist, Jr. & family",84,Nashville,M,United States,Hospitals,,,2023,4,20200,Healthcare
82,Andrew Forrest,61,Perth,M,Australia,Mining,,,2023,4,19600,Metals & Mining
83,Ray Dalio,73,Greenwich,M,United States,Hedge funds,Bridgewater Associates,Founder & Co-Chief Investment Officer,2023,4,19100,Finance & Investments
84,Eric Li,59,Hangzhou,M,China,Automobiles,,,2023,4,19000,Automotive
84,Wang Wenyin,55,Shenzhen,M,China,"Mining, copper products",,,2023,4,19000,Metals & Mining
86,Eyal Ofer,72,Monte Carlo,M,Monaco,"Real estate, shipping",,,2023,4,18900,Diversified
86,Qin Yinglin,57,Nanyang,M,China,Pig breeding,,,2023,4,18900,Food & Beverage
88,Wang Chuanfu,57,Shenzhen,M,China,"Batteries, automobiles",,,2023,4,18700,Automotive
