item_no,price,rating,title
234099,100.00,5.0,Solo Stove Mesa XL Fire Pit
114799,36.93,4.6,Snow Peak GigaPower 2.0 Stove
114890,49.95,4.6,MSR PocketRocket 2 Stove
179537,69.95,4.5,Eureka SPRK+ Butane Camp Stove
127968,129.95,4.5,Jetboil Flash Cooking System
149913,124.95,4.5,Eureka Ignite 2-Burner Camp Stove
191171,190.00,4.2,Camp Chef Everest 2X High-Pressure Stove
106902,119.95,4.7,MSR PocketRocket Stove Kit
204932,200.00,4.6,Coleman Cascade 328 3-Burner Camp Stove
179538,149.95,4.4,Eureka SPRK Camp Grill
234098,280.00,5.0,Solo Stove Bonfire Fire Pit with Stand 2.0
876918,169.95,4.4,Jetboil MiniMo Cooking System
125248,189.95,4.6,MSR WindBurner Stove System - 1 Liter
852113,39.95,4.3,Esbit Solid Fuel Stove and Cookset
169523,119.95,4.6,Snow Peak Home &amp; Camp Butane Stove
186794,69.95,4.0,FIRESIDE OUTDOOR Ground Ember Mat
728384,5.95,4.8,Jetboil Jetpower Fuel - 3.53 oz. / 100g
206260,3.50,5.0,Iwatani Butane Fuel Canister - 8 fl. oz.
830343,134.95,4.7,MSR WindPro II Backpacking Stove
139468,44.95,4.7,TOAKS Titanium Backpacking Wood Burning Stove - Small
227914,269.95,0.0,Snow Peak Teppanyaki Burner
176750,129.95,4.4,Ignik Gas Growler Deluxe
173365,39.95,4.8,AeroPress Go Travel Coffee Press
199934,89.83,3.9,NEMO Tensor Ultralight Sleeping Pad
225651,600.00,4.6,Garmin Forerunner 965
782241,8.93,4.5,Sea to Summit Alpha Light Spoon - Long
186178,75.93,4.7,REI Co-op Pack-Away Bin
229733,49.95,4.4,LifeStraw Go Series 1 L Water Filter Bottle - 33.8 fl. oz.
198437,40.00,4.3,Tiny Tents Basecamp Dome Tent
158399,39.95,4.7,REI Co-op Trailsmith Gloves
208257,400.00,4.1,Garmin inReach Mini 2
161521,18.93,4.2,Zippo Heatbank 3 Rechargeable Hand Warmer and Power Bank
848099,44.95,4.0,GSI Outdoors Gourmet Kitchen Set 11
219193,15.93,4.7,REI Co-op Graphic Camp Mug - 12 fl. oz.
220438,45.00,4.4,Stanley Quencher H2.0 FlowState Tumbler - 40 fl. oz.
634288,36.93,4.5,Rubbermaid Action Packer - 24 Gallon
143797,15.93,4.6,TheTentLab The Deuce 3 Heavy Duty Backcountry Trowel
815538,7.93,4.1,GSI Outdoors Spice Missile
204536,29.95,4.0,REI Co-op Pack-Away 6 Soft Cooler
217509,11.95,4.5,OXO Soap-Dispensing Brush with Storage Case
188426,15.95,4.7,REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.
188475,29.93,3.3,Platypus QuickDraw Microfilter System
207804,32.73,4.0,Hydro Flask Wide-Mouth Vacuum Water Bottle with Flex Cap - 32 fl. oz.
233808,30.00,4.8,YETI Rambler Vacuum Pint Glass with MagSlider Lid
139477,19.95,4.7,TOAKS Titanium 3-Piece Cutlery Set
217505,25.95,3.9,OXO Campgrounds French Press 2.0
161619,150.00,4.8,Stanley Even-Heat Camp Pro Cookset
202274,374.00,3.9,REI Co-op Skyward 4 Tent
203934,19.95,4.7,OXO Outdoor Santoku Knife with Locking Sheath
189488,23.00,4.7,SOL Flat Pack Collapsible Sink - 16 Liters
149219,70.00,4.0,Stanley Classic Vacuum French Press - 48 fl. oz.
176598,92.93,4.8,Rumpl Original Puffy Blanket - National Park
189489,17.00,4.4,SOL Flat Pack Collapsible Sink - 8 Liters
797114,55.93,4.4,Sea to Summit Thermolite Reactor Extreme Sleeping Bag Liner
889971,36.93,4.2,Sea to Summit X-Pot Kettle - 1.3 Liters
234022,34.73,4.8,MPOWERD Luci Pro Series Inflatable Solar Lantern
203771,39.95,4.9,Kelty Chef Roll Bag
193121,73.83,3.6,REI Co-op Trailgate Vehicle Shelter
169962,34.95,4.3,Hydro Flask Coffee with Flex Sip Lid - 20 fl. oz.
231022,12.73,5.0,UCO 4-Piece Mess Kit
200660,86.93,4.0,Mountain Summit Gear Aluminum Folding Picnic Table
223393,69.95,4.8,AeroPress XL Coffee Press
235025,17.73,0.0,CamelBak Insulated Stainless-Steel Camp Mug - 12 fl. oz.
187358,11.93,4.1,REI Co-op Life Outdoors Flask - 8 fl. oz.
193589,29.93,4.6,REI Co-op Flannel/Fleece Blanket
739717,17.00,4.6,Rolla Roaster Marshmallow and Hot Dog Roasting Forks - Pair
186176,34.93,4.6,REI Co-op Pack-Away Adjustable Cube
227610,20.93,4.4,Hydro Flask Kids' Wide-Mouth Vacuum Water Bottle with Straw Cap Lid and Boot - 12 fl. oz.
189676,79.95,4.6,GSI Outdoors Rakau Knife Set
230608,12.73,5.0,Sea to Summit X-Bowl
